שם יישוב,סמל יישוב,תעתיק,סמל מחוז,שם מחוז,סמל נפה,שם נפה,אזור טבעי,סמל מעמד מונציפאלי,שם מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2021,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,תחנת משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
בת ים,6200,BAT YAM,5,תל אביב,53,תל אביב,513,0,עירייה,123,1,126291,125279,97853,1012,1926,140,,1765265859,22,502,10001430,2021,Bat Yam,
בת עין,3794,BAT AYIN,7,אזור יהודה ושומרון,76,בית לחם,,76,מועצה אזורית גוש עציון,445,1,1673,1673,1663,0,1989,370,11,2096361842,804,714,15000586,2021,Bat Ayin,
בת שלמה,33,BAT SHELOMO,3,חיפה,32,חדרה,322,15,מועצה אזורית חוף הכרמל,243,1,648,648,624,0,1889,310,7,2005972292,90,303,10004333,2021,Bat Shelomo,
בתי זיקוק - קישון,1736,,3,חיפה,31,חיפה,311,,חסר מעמד מוניציפלי,210,,,,,,,520,,2057074449,3,,10004207,2021,,
ג'דיידה-מכר,1292,JUDEIDE-MAKER,2,הצפון,24,עכו,246,99,מועצה מקומית,241,2,21508,33,15,21475,,260,,2140675939,38,252,15002143,2021,Judeide-Maker,
ג'ולס,485,JULIS,2,הצפון,24,עכו,243,99,מועצה מקומית,,2,6657,0,0,6657,,280,,2174876080,111,252,15002143,2021,Julis,
ג'לג'וליה,627,JALJULYE,4,המרכז,42,פתח תקווה,421,99,מועצה מקומית,142,2,10480,141,104,10339,,270,,1957367322,37,451,15000658,2021,Jaljulye,410
ג'נאביב (שבט),976,JUNNABIB,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,2030056900,,699,,2021,Janabib,
ג'סר א זרקא,541,JISR AZ-ZARQA,3,חיפה,32,חדרה,324,99,מועצה מקומית,,2,15315,11,0,15304,,270,,1919671585,11,353,15002142,2021,Jisr Az-Zarqa,
ג׳יש,487,JISH(GUSH HALAV),2,הצפון,21,צפת,212,99,מועצה מקומית,,2,3153,11,6,3142,,290,,2419976974,744,258,10004528,2021,Jish(Gush Halav),211
ג'ת,628,JATT,3,חיפה,32,חדרה,324,99,מועצה מקומית,,2,12473,10,3,12463,,270,,2036070065,56,354,15002436,2021,Jatt,
גאולי תימן,872,GE'ULE TEMAN,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,358,264,264,94,1947,310,2,1909769986,11,409,15000060,2021,Ge'ule Teman,
גאולים,379,GE'ULIM,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,986,986,963,0,1945,310,1,1950268938,55,412,15000060,2021,Ge'ulim,410
"גאון הירדן מ""א 3",1963,,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,,,,,,,530,,,,,,2021,,214
גאליה,853,GE'ALYA,4,המרכז,44,רחובות,442,27,מועצה אזורית גן רווה,143,1,942,942,932,0,1948,310,1,1779264365,22,456,15002488,2021,Ge'alya,
גבולות,352,GEVULOT,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,400,400,334,0,1943,330,15,1490356905,131,651,10001893,2021,Gevulot,620
גבים,424,GEVIM,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,617,616,599,1,1947,330,15,1617060180,116,651,10001829,2021,Gevim,620
גבע,86,GEVA,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,605,605,583,0,1921,330,15,2351971912,11,204,10004394,2021,Geva,213
גבע בנימין,3763,GEVA BINYAMIN,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,445,1,5857,5839,5718,18,1984,180,,2262163967,571,711,10003299,2021,Geva Binyamin,710
גבע כרמל,683,GEVA KARMEL,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,243,1,1192,1192,1177,0,1949,310,1,1960372982,22,303,10004333,2021,Geva Karmel,
גבעולים,2014,GIV'OLIM,6,הדרום,62,באר שבע,621,39,מועצה אזורית שדות נגב,,1,422,422,422,0,1952,310,2,1611658959,120,651,10001930,2021,Giv'olim,620
גבעון החדשה,3644,GIV'ON HAHADASHA,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,445,1,1021,963,933,58,1980,370,11,2150863946,796,711,10002489,2021,Giv'on HaHadasha,710
גבעות בר,1344,GEVA'OT BAR,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,1307,1306,1290,1,2004,370,19,1768358505,229,625,10001946,2021,Geva'ot Bar,620
גבעת אבני,1293,GIV'AT AVNI,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,2098,2098,2055,0,1991,190,,2414274234,283,206,10004552,2021,Giv'at Avni,214
גבעת אלה,1288,GIV'AT ELA,2,הצפון,23,יזרעאל,237,9,מועצה אזורית עמק יזרעאל,,1,1886,1882,1866,4,1988,370,13,2232973632,262,254,10004411,2021,Giv'at Ela,213
גבעת ברנר,147,GIV'AT BRENNER,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,1,2694,2693,2633,1,1928,193,,1812764167,59,456,15002488,2021,Giv'at Brenner,420
גבעת השלושה,870,GIV'AT HASHELOSHA,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,142,1,900,900,880,0,1925,330,15,1927566726,29,417,10002116,2021,Giv'at HaShelosha,410
גבעת זאב,3730,GIV'AT ZE'EV,7,אזור יהודה ושומרון,74,ראמאללה,,99,מועצה מקומית,445,1,20034,20010,19855,24,1983,160,,2159164034,730,705,10002489,2021,Giv'at Ze'ev,710
"גבעת ח""ן",207,GIV'AT HEN,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,131,1,363,363,360,0,1933,310,1,1883167498,62,417,10002133,2021,Giv'at Hen,410
גבעת חביבה,1740,,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,,,,,,,520,,2022770712,51,351,15002436,2021,,
גבעת חיים (איחוד),2018,GIV'AT HAYYIM (IHUD),4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,1207,1207,1180,0,1932,330,15,1938370064,22,409,15000060,2021,Giv'at Hayyim (Ihud),
גבעת חיים (מאוחד),173,GIV'AT HAYYIM(ME'UHAD),4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,1062,1057,1024,5,1932,330,15,1937069975,20,409,15000060,2021,Giv'at Hayyim(Me'uhad),
גבעת יואב,4021,GIV'AT YO'AV,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,728,726,705,2,1968,310,1,2641674503,312,219,10004579,2021,Giv'at Yo'av,211
גבעת יערים,787,GIV'AT YE'ARIM,1,ירושלים,11,ירושלים,111,26,מועצה אזורית מטה יהודה,444,1,1398,1398,1374,0,1950,310,1,2088163269,694,151,15000597,2021,Giv'at Ye'arim,
גבעת ישעיהו,919,GIV'AT YESHA'YAHU,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,807,807,795,0,1958,310,6,1948961988,298,151,15000597,2021,Giv'at Yesha'yahu,
"גבעת כ""ח",802,GIV'AT KOAH,4,המרכז,42,פתח תקווה,422,25,מועצה אזורית חבל מודיעין,142,1,887,887,865,0,1950,310,1,1940765983,69,424,10002168,2021,Giv'at Koah,
"גבעת ניל""י",360,GIV'AT NILI,3,חיפה,32,חדרה,323,45,מועצה אזורית אלונה,,1,715,715,713,0,1953,310,9,2041471707,135,351,10004233,2021,Giv'at Nili,
גבעת עוז,703,GIV'AT OZ,2,הצפון,23,יזרעאל,234,13,מועצה אזורית מגידו,,1,475,474,446,1,1949,330,15,2189071785,114,254,10004249,2021,Giv'at Oz,213
גבעת שמואל,681,GIV'AT SHEMU'EL,4,המרכז,42,פתח תקווה,422,0,עירייה,132,1,28162,28105,27743,57,1942,160,,1860266489,48,427,10001516,2021,Giv'at Shemu'el,
גבעת שמש,566,GIV'AT SHEMESH,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,1,56,49,46,7,1954,340,,1955163138,253,151,15000597,2021,Giv'at Shemesh,
גבעת שפירא,1077,GIV'AT SHAPPIRA,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,418,418,415,0,1958,310,10,1886069600,37,409,15000060,2021,Giv'at Shappira,
גבעתי,793,GIV'ATI,6,הדרום,61,אשקלון,611,33,מועצה אזורית באר טוביה,143,1,1071,1071,1060,0,1950,310,1,1698062683,37,616,10001821,2021,Giv'ati,420
גבעתיים,6300,GIV'ATAYIM,5,תל אביב,52,תל אביב,512,0,עירייה,122,1,61280,61232,59105,48,1922,150,,1822166429,42,503,10001533,2021,Giv'atayim,
גברעם,342,GEVAR'AM,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,669,669,640,0,1942,330,15,1632461117,86,633,10001829,2021,Gevar'am,620
גבת,133,GEVAT,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,959,959,944,0,1926,330,15,2202173114,93,254,10004411,2021,Gevat,213
גדות,35,GADOT,2,הצפון,21,צפת,213,1,מועצה אזורית הגליל העליון,,1,447,447,400,0,1949,330,15,2582576941,117,253,10004540,2021,Gadot,211
גדיש,145,GADISH,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,414,414,401,0,1956,310,1,2232471831,66,204,10004394,2021,Gadish,213
גדעונה,442,GID'ONA,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,505,505,495,0,1949,350,,2339771717,-10,204,10004394,2021,Gid'ona,213
גדרה,2550,GEDERA,4,המרכז,44,רחובות,441,99,מועצה מקומית,143,1,30393,30280,29493,113,1884,160,,1792663560,57,431,15002488,2021,Gedera,420
"גולן דרומי מ""א 71",1966,,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,,,,,,,530,,2704074680,,,,2021,,211
"גולן צפוני מ""א 71",1962,,2,הצפון,29,גולן,292,71,מועצה אזורית גולן,,,,,,,,530,,2709077860,,,,2021,,211
"גולן תיכון מ""א 71",1964,,2,הצפון,29,גולן,293,71,מועצה אזורית גולן,,,,,,,,530,,2670076100,,,,2021,,211
גונן,852,GONEN,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,369,368,355,1,1951,330,15,2607478109,89,253,10004591,2021,Gonen,211
גורן,755,GOREN,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,686,680,400,6,1950,310,1,2224377349,367,255,10004302,2021,Goren,212
גורנות הגליל,1219,GORNOT HAGALIL,2,הצפון,24,עכו,244,52,מועצה אזורית מעלה יוסף,,1,244,243,218,1,1980,350,,2236377386,388,255,10004302,2021,Gornot HaGalil,212
גזית,457,GAZIT,2,הצפון,23,יזרעאל,233,9,מועצה אזורית עמק יזרעאל,,1,804,804,767,0,1948,330,15,2422172722,129,254,10004394,2021,Gazit,213
גזר,370,GEZER,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,311,311,301,0,1945,330,15,1925264268,122,426,10002228,2021,Gezer,
גיאה,706,GE'A,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,980,980,959,0,1949,310,1,1624261519,54,633,10001829,2021,Ge'a,620
גיבתון,196,GIBBETON,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,1,390,390,387,0,1933,350,,1811964406,42,456,10002241,2021,Gibbeton,420
גיזו,1043,GIZO,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,207,207,205,0,1968,350,,1943163471,196,151,15000597,2021,Gizo,
גילון,1204,GILON,2,הצפון,24,עכו,242,56,מועצה אזורית משגב,241,1,1127,1126,1091,1,1980,370,9,2225075645,293,205,10004465,2021,Gilon,210
גילת,736,GILAT,6,הדרום,62,באר שבע,622,42,מועצה אזורית מרחבים,344,1,1558,1558,1545,0,1949,310,1,1668758193,136,651,10001893,2021,Gilat,620
גינוסר,262,GINNOSAR,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,597,595,569,2,1937,330,15,2493075035,-203,214,10004552,2021,Ginnosar,214
גיניגר,92,GINNEGAR,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,667,663,647,4,1922,330,15,2244072994,107,254,10004411,2021,Ginnegar,213
גינתון,863,GINNATON,4,המרכז,43,רמלה,432,25,מועצה אזורית חבל מודיעין,142,1,920,914,897,6,1949,310,1,1919965223,57,424,10002261,2021,Ginnaton,
גיתה,1206,GITTA,2,הצפון,24,עכו,243,52,מועצה אזורית מעלה יוסף,,1,300,300,260,0,1980,370,13,2236176356,430,255,10004484,2021,Gitta,212
גיתית,3613,GITTIT,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,498,498,491,0,1973,310,9,2375966764,301,712,10003299,2021,Gittit,710
גלאון,393,GAL'ON,6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,603,603,578,0,1946,330,15,1856061576,199,632,10001813,2021,Gal'on,420
גלגל,3606,GILGAL,7,אזור יהודה ושומרון,75,ירדן-יריחו,,75,מועצה אזורית ערבות הירדן,,1,223,197,180,26,1970,330,15,2424165627,-248,712,10003299,2021,Gilgal,710
גליל ים,346,GELIL YAM,5,תל אביב,51,תל אביב,511,19,מועצה אזורית חוף השרון,121,1,542,542,537,0,1943,330,15,1842067381,43,401,10001605,2021,Gelil Yam,
"גליל עליון מז מ""א 1",1809,,2,הצפון,21,צפת,212,1,מועצה אזורית הגליל העליון,,,,,,,,530,,2362077180,,,,2021,,211
"גליל עליון מז מ""א 2",1811,,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,,,,,,,530,,2438076690,,,,2021,,211
"גליל עליון מז מ""א 55",1810,,2,הצפון,21,צפת,212,55,מועצה אזורית מבואות החרמון,,,,,,,,530,,2508077340,,,,2021,,211
"גליל עליון מז של""ש",1812,,2,הצפון,21,צפת,212,,חסר מעמד מוניציפלי,,,,,,,,530,,2385076890,,,,2021,,
"גליל תחתון מז מ""א 2",1820,,2,הצפון,22,כנרת,222,2,מועצה אזורית מרום הגליל,,,,,,,,530,,2419075400,,,,2021,,211
"גליל תחתון מז מ""א 3",1819,,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,,,,,,,530,,2426074060,,,,2021,,214
"גליל תחתון מז מ""א 6",1821,,2,הצפון,22,כנרת,222,6,מועצה אזורית עמק הירדן,,,,,,,,530,,2484072760,,,,2021,,214
"גליל תחתון מז של""ש",1822,,2,הצפון,22,כנרת,222,,חסר מעמד מוניציפלי,,,,,,,,530,,2416075000,,,,2021,,
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,497,496,482,1,1945,330,15,2074371811,185,254,10004411,2021,Gal'ed (Even Yizhaq),213
"גמ""ל מחוז דרום",1997,,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,,,,,,,530,,,,,,2021,,
גמזו,745,GIMZO,4,המרכז,43,רמלה,431,25,מועצה אזורית חבל מודיעין,142,1,1198,1198,1198,0,1950,310,8,1945464834,105,424,10002261,2021,Gimzo,
גן הדרום,1072,GAN HADAROM,4,המרכז,44,רחובות,441,32,מועצה אזורית גדרות,143,1,633,633,615,0,1953,310,10,1717663473,39,456,10001821,2021,Gan HaDarom,
גן השומרון,225,GAN HASHOMERON,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,839,838,830,1,1934,310,10,2000870764,44,351,10004333,2021,Gan Hashomeron,
גן חיים,239,GAN HAYYIM,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,141,1,811,809,797,2,1935,310,1,1912867798,61,417,10002133,2021,Gan Hayyim,410
גן יאשיה,734,GAN YOSHIYYA,4,המרכז,41,השרון,412,16,מועצה אזורית עמק חפר,141,1,1019,1019,1003,0,1949,310,1,1996469519,32,409,15000060,2021,Gan Yoshiyya,
גן יבנה,166,GAN YAVNE,4,המרכז,44,רחובות,441,99,מועצה מקומית,143,1,24251,24175,23350,76,1931,160,,1724863297,39,429,10001821,2021,Gan Yavne,
גן נר,1274,GAN NER,2,הצפון,23,יזרעאל,232,8,מועצה אזורית הגלבוע,,1,2672,2671,2583,1,1987,190,,2320271533,156,204,10004394,2021,Gan Ner,213
גן שורק,311,GAN SOREQ,4,המרכז,44,רחובות,442,27,מועצה אזורית גן רווה,143,1,702,700,700,2,1950,310,1,1775365029,37,456,15002488,2021,Gan Soreq,
גן שלמה,144,GAN SHELOMO,4,המרכז,44,רחובות,441,28,מועצה אזורית ברנר,143,1,590,590,546,0,1927,330,15,1810764287,45,456,15002488,2021,Gan Shelomo,420
גן שמואל,72,GAN SHEMU'EL,3,חיפה,32,חדרה,324,14,מועצה אזורית מנשה,,1,948,947,931,1,1913,330,15,1955870649,23,351,10004261,2021,Gan Shemu'el,
גנות,836,GANNOT,4,המרכז,43,רמלה,432,40,מועצה אזורית שדות דן,133,1,585,585,581,0,1953,310,10,1839465836,27,425,10002207,2021,Gannot,
גנות הדר,549,GANNOT HADAR,4,המרכז,41,השרון,411,18,מועצה אזורית לב השרון,141,1,963,963,952,0,1964,350,,1908469192,49,412,15000060,2021,Gannot Hadar,410
גני הדר,1103,GANNE HADAR,4,המרכז,43,רמלה,432,30,מועצה אזורית גזר,143,1,354,354,351,0,1958,350,,1862764289,89,426,10002241,2021,Ganne Hadar,
גני טל,1371,GANNE TAL,4,המרכז,44,רחובות,441,31,מועצה אזורית נחל שורק,143,1,909,909,909,0,2010,370,2,1803963293,78,456,15002488,2021,Ganne Tal,420
גני יוחנן,862,GANNE YOHANAN,4,המרכז,44,רחובות,441,30,מועצה אזורית גזר,143,1,602,602,594,0,1950,310,1,1848064064,63,426,10002241,2021,Ganne Yohanan,
גני מודיעין,3823,GANNE MODI'IN,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,1,2688,2687,2677,1,1996,190,,2017564847,236,711,10004054,2021,Ganne Modi'in,710
גני עם,218,GANNE AM,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,142,1,234,234,230,0,1934,350,,1908667313,33,417,10002133,2021,Ganne Am,410
גני תקווה,229,GANNE TIQWA,4,המרכז,42,פתח תקווה,422,99,מועצה מקומית,132,1,22694,22682,22329,12,1953,160,,1883666302,74,428,10001516,2021,Ganne Tiqwa,
געש,842,GA'ASH,4,המרכז,41,השרון,411,19,מועצה אזורית חוף השרון,141,1,921,921,909,0,1951,330,15,1836668178,29,401,15000060,2021,Ga'ash,
געתון,463,GA'TON,2,הצפון,24,עכו,243,4,מועצה אזורית מטה אשר,,1,699,696,678,3,1948,330,15,2204676792,345,201,10004302,2021,Ga'ton,212
גפן,39,GEFEN,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,,1,422,422,416,0,1955,310,2,1885762761,159,151,15000597,2021,Gefen,
גרופית,1129,GEROFIT,6,הדרום,62,באר שבע,625,53,מועצה אזורית חבל אילות,,1,253,251,231,2,1963,330,15,2059442806,118,608,10001955,2021,Gerofit,610
גשור,4022,GESHUR,2,הצפון,29,גולן,294,71,מועצה אזורית גולן,,1,309,309,299,0,1971,330,15,2674574724,348,219,10004579,2021,Geshur,211
גשר,305,GESHER,2,הצפון,23,יזרעאל,231,7,מועצה אזורית עמק המעיינות,,1,455,454,436,1,1939,330,15,2520072518,-199,202,10004568,2021,Gesher,214
גשר הזיו,574,GESHER HAZIW,2,הצפון,24,עכו,245,4,מועצה אזורית מטה אשר,241,1,1593,1584,1543,9,1949,330,15,2107977153,20,201,10004302,2021,Gesher HaZiw,212
גת (קיבוץ),340,GAT(QIBBUZ),6,הדרום,61,אשקלון,611,35,מועצה אזורית יואב,,1,966,966,932,0,1941,330,15,1805861511,140,632,10001813,2021,Gat(Qibbuz),420
גת רימון,128,GAT RIMMON,4,המרכז,42,פתח תקווה,422,20,מועצה אזורית דרום השרון,132,1,318,318,309,0,1926,350,,1888366395,68,417,10002116,2021,Gat Rimmon,410
דאלית אל כרמל,494,DALIYAT AL-KARMEL,3,חיפה,31,חיפה,311,99,מועצה מקומית,223,2,18061,60,37,18001,,270,,2050573325,419,356,15005224,2021,Daliyat Al-Karmel,310
דבורה,146,DEVORA,2,הצפון,23,יזרעאל,234,8,מועצה אזורית הגלבוע,,1,219,217,216,2,1956,310,1,2250471761,69,204,10004394,2021,Devora,213
דבוריה,489,DABURIYYA,2,הצפון,23,יזרעאל,237,99,מועצה מקומית,,2,10782,9,3,10773,,270,,2351373300,158,251,10004394,2021,Daburiyya,213
דבירה,849,DEVIRA,6,הדרום,62,באר שבע,623,41,מועצה אזורית בני שמעון,341,1,1045,1041,1016,4,1951,330,15,1831659134,306,625,10001937,2021,Devira,620
דברת,407,DAVERAT,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,554,554,523,0,1946,330,15,2330672817,170,254,10004394,2021,Daverat,213
דגניה א',62,DEGANYA ALEF,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,524,523,519,1,1909,330,15,2541873489,-200,214,10004552,2021,Deganya Alef,214
דגניה ב',79,DEGANYA BET,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,689,689,678,0,1920,330,15,2542173403,-199,214,10004552,2021,Deganya Bet,214
"דוב""ב",1067,DOVEV,2,הצפון,24,עכו,244,2,מועצה אזורית מרום הגליל,,1,478,474,470,4,1963,310,1,2383977297,768,209,10004528,2021,Dovev,211
דולב,3747,DOLEV,7,אזור יהודה ושומרון,74,ראמאללה,,73,מועצה אזורית מטה בנימין,,1,1569,1569,1569,0,1983,370,11,2127464816,556,711,10004054,2021,Dolev,710
דור,738,DOR,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,243,1,450,450,445,0,1949,310,1,1929172372,4,303,10004333,2021,Dor,
דורות,336,DOROT,6,הדרום,61,אשקלון,614,37,מועצה אזורית שער הנגב,,1,870,869,841,1,1941,330,15,1663160175,105,651,10001829,2021,Dorot,620
דחי,475,DAHI,2,הצפון,23,יזרעאל,234,66,מועצה אזורית בוסתן אל-מרג',,2,712,0,0,712,,450,,2325872519,415,251,10004394,2021,Dahi,213
דייר אל אסד,490,DEIR AL-ASAD,2,הצפון,24,עכו,242,99,מועצה מקומית,,2,12934,6,5,12928,,270,,2254176009,465,260,15002358,2021,Deir Al-Asad,210
דייר חנא,492,DEIR HANNA,2,הצפון,24,עכו,241,99,מועצה מקומית,,2,10599,15,1,10584,,270,,2348075200,226,262,10004513,2021,Deir Hanna,
דייר ראפאת,493,DEIR RAFAT,1,ירושלים,11,ירושלים,112,26,מועצה אזורית מטה יהודה,444,2,99,1,0,98,,440,,1950863156,247,151,15000597,2021,Deir Rafat,
דימונה,2200,DIMONA,6,הדרום,62,באר שבע,626,0,עירייה,,1,35893,35633,32201,260,1955,160,,2033055318,453,607,10001918,2021,Dimona,610
דישון,2063,DISHON,2,הצפון,21,צפת,212,55,מועצה אזורית מבואות החרמון,,1,336,336,328,0,1953,310,6,2488277637,442,253,10004591,2021,Dishon,211
דלייה,300,DALIYYA,2,הצפון,23,יזרעאל,236,13,מועצה אזורית מגידו,,1,843,843,784,0,1939,330,15,2072972171,201,254,10004411,2021,Daliyya,213
דלתון,431,DALTON,2,הצפון,21,צפת,212,2,מועצה אזורית מרום הגליל,,1,870,870,870,0,1950,310,2,2460576912,806,209,10004528,2021,Dalton,211
דמיידה,1317,DEMEIDE,2,הצפון,24,עכו,241,56,מועצה אזורית משגב,241,2,548,0,0,548,,450,,2216374673,201,205,10004513,2021,Demeide,210
דן,303,DAN,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,781,780,760,1,1939,330,15,2612479393,175,253,10004591,2021,Dan,211
דפנה,302,DAFNA,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,1025,1025,1012,0,1939,330,15,2599179280,141,253,10004591,2021,Dafna,211
דקל,1241,DEQEL,6,הדרום,62,באר שבע,622,38,מועצה אזורית אשכול,,1,380,376,366,4,1982,310,10,1377356740,103,651,10001893,2021,Deqel,620
"דרום השרון מ""א 18",1881,,4,המרכז,42,פתח תקווה,421,18,מועצה אזורית לב השרון,,,,,,,,530,,,,,,2021,,
"דרום השרון מ""א 20",1882,,4,המרכז,42,פתח תקווה,421,20,מועצה אזורית דרום השרון,,,,,,,,530,,1899068100,,,,2021,,
"דרום השרון של""ש",1885,,4,המרכז,42,פתח תקווה,421,,חסר מעמד מוניציפלי,,,,,,,,530,,1960067130,,,,2021,,
דרום יהודה,1998,,7,אזור יהודה ושומרון,77,חברון,,,חסר מעמד מוניציפלי,,,,,,,,530,,,,,,2021,,
דריג'את,1349,DERIG'AT,6,הדרום,62,באר שבע,623,69,מועצה אזורית אל קסום,,2,1308,3,0,1305,,450,,2072057882,557,624,10001937,2021,Derig'at,610
האון,702,HAON,2,הצפון,22,כנרת,221,6,מועצה אזורית עמק הירדן,,1,183,183,167,0,1949,330,15,2585973681,-188,214,10004552,2021,HaOn,214
הבונים,675,HABONIM,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,243,1,386,386,381,0,1949,320,15,1939572694,17,303,10004333,2021,HaBonim,
הגושרים,356,HAGOSHERIM,2,הצפון,21,צפת,211,1,מועצה אזורית הגליל העליון,,1,1009,1009,963,0,1948,330,15,2585379177,99,253,10004591,2021,HaGosherim,211
הדר עם,191,HADAR AM,4,המרכז,41,השרון,411,16,מועצה אזורית עמק חפר,141,1,696,696,691,0,1933,310,10,1909169506,27,409,15000060,2021,Hadar Am,
הוד השרון,9700,HOD HASHARON,4,המרכז,42,פתח תקווה,421,0,עירייה,131,1,65363,65328,63847,35,1924,150,,1901867323,37,423,10002133,2021,Hod HaSharon,410
הודיות,1322,HODAYOT,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,303,303,175,0,1959,340,,2410774379,284,206,10004552,2021,Hodayot,214
הודייה,726,HODIYYA,6,הדרום,61,אשקלון,614,36,מועצה אזורית חוף אשקלון,,1,616,615,598,1,1949,310,1,1660062041,52,633,10001821,2021,Hodiyya,620
הוואשלה (שבט),1169,HAWASHLA,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,2020055900,,699,,2021,Al-Hawashila,
הוזייל (שבט),956,HUZAYYEL,6,הדרום,62,באר שבע,623,,חסר מעמד מוניציפלי,,3,,,,,,460,,1762059080,,699,,2021,Al-Huzayyil,
הושעיה,1186,HOSHA'AYA,2,הצפון,23,יזרעאל,237,9,מועצה אזורית עמק יזרעאל,,1,2092,2092,2092,0,1981,190,2,2276174046,221,254,15002369,2021,Hosha'aya,213
הזורע,250,HAZOREA,2,הצפון,23,יזרעאל,235,13,מועצה אזורית מגידו,,1,932,932,884,0,1936,330,15,2114872773,65,254,10004411,2021,HaZorea,213
הזורעים,307,HAZORE'IM,2,הצפון,22,כנרת,222,3,מועצה אזורית הגליל התחתון,,1,1108,1108,1106,0,1939,310,2,2473873908,-61,206,10004552,2021,HaZore'im,214
החותרים,434,HAHOTERIM,3,חיפה,32,חדרה,321,15,מועצה אזורית חוף הכרמל,223,1,914,913,895,1,1948,330,15,1962473978,15,303,10004710,2021,HaHoterim,
היוגב,684,HAYOGEV,2,הצפון,23,יזרעאל,234,9,מועצה אזורית עמק יזרעאל,,1,790,790,781,0,1949,310,1,2194972416,86,254,10004411,2021,HaYogev,213
